source_id,type,citation,year,title,source_url_or_identifier,population,exercise_modality,measurement_method,sample_size_or_scope,key_finding_used,uncertainty_and_limits,evidence_class,applicability,verified_this_run
S11,primary_research,"Cole CR, Blackstone EH, Pashkow FJ, Snader CE, Lauer MS. N Engl J Med 341(18):1351-1357",1999,Heart-rate recovery immediately after exercise as a predictor of mortality,https://pubmed.ncbi.nlm.nih.gov/10536127/ (PMID 10536127; doi 10.1056/NEJM199910283411804),2428 consecutive adults referred for diagnostic exercise testing (mean age 57+/-12 y; 63% men),graded exercise testing (clinical),1-minute HR recovery from peak exercise,2428,blunted HRR (<=12 bpm) predicted all-cause mortality adjusted RR 2.0 (95% CI 1.5-2.7),clinical referred population; prognostic endpoint; no resistance-training applicability,prognostic association,explicitly NOT usable for effort grading; medical semantics must not enter the app (05),Y
S12,primary_research,"Smiley A, Tsai TY, Gabriel A, et al. AMIA Annu Symp Proc 2023:653-662",2023,Exercise Exertion Level Prediction Using Data from Wearable Physiologic Monitors,https://pmc.ncbi.nlm.nih.gov/articles/PMC10785938/ (PMCID PMC10785938; PMID 38222331),10 healthy adults aged 21-61 y (60% female),supervised 16-min cycling on instrumented bike (three resistance phases),chest ECG (Actiheart 5) + wrist pulse oximeter (WristOx2) + RPM; RPE (revised 1-10 Borg) once per minute; 2-minute windows labeled TWO-CLASS high vs low exertion at RPE threshold 3.5; previous window predicts next; 70 predictor rows; random 20% test split,10 participants / 70 rows,TWO-CLASS classification: best test 85.7% accuracy (KNN) F1 83%; AUC 0.92 (ensemble) [corrected per audit - earlier three-band ~71% description was wrong],n=10; coarse two-band labels; lab ECG instrumentation; cycling only; window-level not per-set; no resistance modality,prediction (two-class classification),the only consumer-adjacent modality result on file - a two-class coarse classification (not a per-set estimator) (02 4b/6; 06 1) [wording corrected per third audit],Y
S13,primary_research,"Rafl J, Bachman TE, Rafl-Huttova V, Walzel S, Rozanek M. Digit Health 8:20552076221132127",2022,Commercial smartwatch with pulse oximeter detects short-time hypoxemia as well as standard medical-grade device: Validation study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9554125/ (PMID 36249475; doi 10.1177/20552076221132127),24 healthy adults,controlled breathing-circuit desaturation (not exercise),smartwatch SpO2 vs Masimo Radical-7,24,detected short-time hypoxemia comparably to reference in this protocol,one device; controlled protocol; healthy volunteers; no exercise; no effort construct,validation study,SpO2 has hypoxemia utility but zero established effort relevance (05 §8),Y
S14,primary_research_review,"Laborde S, Mosley E, Thayer JF. Front Psychol 8:213",2017,Heart Rate Variability and Cardiac Vagal Tone in Psychophysiological Research - Recommendations for Experiment Planning Data Analysis and Data Reporting,https://pmc.ncbi.nlm.nih.gov/articles/PMC5316555/ (doi 10.3389/fpsyg.2017.00213),n/a (methodology review),n/a,HRV metrics and vagal tone,review,HRV (incl rMSSD) indexes cardiac vagal activity,review; measurement-protocol sensitive,review,orients HRV construct definition (01 §9); no effort claim,Y
S15,primary_research_meta,"Kim HG, Cheon EJ, Bai DS, Lee YH, Koo BH. Psychiatry Investig 15(3):235-245",2018,Stress and Heart Rate Variability: A Meta-Analysis and Review of the Literature,https://pubmed.ncbi.nlm.nih.gov/29486547/ (PMID 29486547; doi 10.30773/pi.2017.08.17),healthy adults + patient groups across pooled studies,psychological stressor studies,HRV under stress meta-analysis,pooled studies,group-level HRV changes under stress with wide metric/individual variability,individual reactivity varies; metric-dependent,pooled association,stress is a day-scale context factor (01 §12); not an effort signal,Y
S16,primary_research,"Ma Y, Chang MC, Litrownik D, Wayne PM, Yeh GY. J Clin Sleep Med 19(5):873-882",2023,Day-night patterns in heart rate variability and complexity: differences with age and cardiopulmonary disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC10152358/ (doi 10.5664/jcsm.10434),COPD/heart-failure patients (n=16) and healthy adults,24-hour ambulatory recording (non-exercise),24-h HRV day-night comparison,16 patients + healthy controls,day-night HRV patterns differ with age and cardiopulmonary status,pagination corrected per audit (19(5):873-882); small patient arm; circadian confounding of any daytime HRV reading,correlation,HRV sampling context matters (04 S4); supports day-scale-only HRV use,Y
S17,primary_research_meta,Zhang S et al. Front Neurol 16:1556784,2025,Effects of sleep deprivation on heart rate variability: a systematic review and meta-analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12394884/ (doi 10.3389/fneur.2025.1556784; PMID 40895095),pooled sleep-deprivation studies,sleep deprivation protocols,HRV meta-analysis,pooled studies,sleep loss shifts HRV with heterogeneous findings across metrics,heterogeneity across metrics and protocols,pooled association,sleep and HRV interact (04 S4); neither maps to set effort,Y
S18,primary_research,"Helmer P, Rodemers P, Hottenrott S, Leppich R, et al. iScience 26(11):108155",2023,Evaluating blood oxygen saturation measurements by popular fitness trackers in postoperative patients: a prospective clinical trial,https://pmc.ncbi.nlm.nih.gov/articles/PMC10590865/ (doi 10.1016/j.isci.2023.108155),112 postoperative patients aged 24-92 y (median 68),clinical resting monitoring (no exercise),three consumer trackers (Apple Watch 7 / Garmin Fenix 6 Pro / Withings ScanWatch) vs arterial blood gas and transmissive pulse oximetry at rest,112 patients; up to 1008 tracker readings,tracker SpO2 underestimated saturation ~1-3% vs SaO2; substantial dropout (up to 48% on one device); RMSE ~4%; Pearson r 0.46-0.64 vs ABG [citation corrected per audit - earlier DOI/issue/article number were wrong],clinical population; resting protocol; no exercise construct; device dropout,validation study,reinforces SpO2 do-not-collect (05 §8),Y
S19,primary_research,"Lee T, Cho Y, Cha KS, et al. JMIR Mhealth Uhealth 11:e50983",2023,Accuracy of 11 Wearable Nearable and Airable Consumer Sleep Trackers: Prospective Multicenter Validation Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10654909/ (doi 10.2196/50983; PMID 37917155),75 adults aged 19-70 (39 M / 36 F; mean age 43.6+/-14.1) recruited via tertiary-hospital sleep lab (SNUBH n=37; scheduled PSG for sleep disorders) and primary-care clinic online recruitment (CLC n=38),sleep laboratory (no exercise),11 consumer sleep trackers vs polysomnography; four-stage epoch-by-epoch classification,75 participants [corrected per audit - earlier n=34-young-healthy description and the TST-MAPE/accuracy figures attributed to this paper were wrong; those figures do not appear in it],accuracy 0.2830-0.7106; macro F1 0.2588-0.6863; Cohen kappa 0.0741-0.5565; best wearables only moderate stage agreement (kappa 0.4-0.6),Korean population; single-night lab PSG; stage classification only; device-dependent,validation study,consumer sleep STAGE data heterogeneous; app consumes efficiency/TST-side quantities (R01); deep/REM minutes never validated physiology,Y
S20,primary_research_review,"Charest J, Grandner MA. Sleep Med Clin 15(1):41-57",2020,Sleep and Athletic Performance: Impacts on Physical Performance Mental Performance Injury Risk and Recovery and Mental Health,https://pubmed.ncbi.nlm.nih.gov/32005349/ (doi 10.1016/j.jsmc.2019.11.005),elite and recreational athletes (review),sport performance,sleep restriction/extension vs performance outcomes,review,insufficient sleep degrades performance and elevates injury risk,review evidence; not a measurement model,review,supports sleep as readiness input (R01b); supports nothing about effort grading,Y
S21,primary_research_review,"Paluch K, Szypula Z, Nowak A, et al. Quality of Sport Sciences (Nicolaus Copernicus University; apcz.umk.pl QS)",2024,Accuracy of Wrist-Worn Heart Rate Monitors: A Comprehensive Review of Smartwatches in Exercise Monitoring,https://apcz.umk.pl/QS/article/view/55350 (also DOAJ 704da2e5ca484d7bbb8f51d920eed847),review incl. studies with over 900 participants total,exercise monitoring,wrist PPG vs criterion across devices,review covering >900 participants,accuracy varies significantly by device activity and individual factors,review; corroborative only for HR accuracy; numeric ranges not extracted this run; MUST NOT be cited for SpO2 claims (that is S24),review,corroborates S09 (02 §5); UNRESOLVED for quantitative use,N-partial
S22,primary_research_review,"Pataca AO, Zdravevski E, et al. Comput Biol Med 198(Pt A):111166",2025,Use of machine learning for predicting stress episodes based on wearable sensor data: A systematic review,https://pubmed.ncbi.nlm.nih.gov/41061390/ (PMID 41061390; doi pending verification - cite by PMID),pooled wearable stress-prediction studies,daily-life monitoring,ML on wearable sensor streams,systematic review,stress-episode prediction remains heterogeneous classification work,NOT fully extracted this run; numbers UNRESOLVED,review,context for ML claims discipline (07 A6); no number rests on it,N-partial
S23,preprint_context,arXiv:2510.03197 (non-peer-reviewed),2025,Estimation of Resistance Training RPE using Inertial Sensors,https://arxiv.org/html/2510.03197v1,study cohort (single-arm dumbbell curl),single-joint resistance exercise,IMU + ML models,see preprint,explores RPE estimation from inertial sensors on one exercise,preprint; lab sensors; single joint; not peer-reviewed,context,recorded as research-landscape context ONLY (02 §6); supports no claim,Y-identity
S24,journal_commentary,"Zhang Z, Khatami R. Lancet Respir Med 10(5):e47-e48",2022,Can we trust the oxygen saturation measured by consumer smartwatches?,https://pubmed.ncbi.nlm.nih.gov/35358426/ (PMID 35358426; doi 10.1016/S2213-2600(22)00103-5),n/a (journal comment),n/a,n/a,comment article,independent caution against trusting consumer smartwatch SpO2 [own manifest row as of remediation - first freeze wrongly attached this citation to S21],comment not primary data,journal commentary,SpO2 do-not-collect support (05 §8) [class corrected per third audit],Y
S25,primary_research,"Albert JA, Herdick A, Brahms CM, Granacher U, Arnrich B. Data 8(1):9",2023,PERSIST: A Multimodal Dataset for the Prediction of Perceived Exertion during Resistance Training,https://www.mdpi.com/2306-5729/8/1/9 (doi 10.3390/data8010009; published 2022-12-28),16 young healthy men screened (>=1 y resistance training); 12 consenting to open data; male-only homogeneous cohort,flywheel squat - 12 sets x 12 reps; fatigue confirmed by blood lactate,IMU + ECG + motion capture + HRV parameters; SET-LEVEL RPE reported after each set,12 participants in released dataset,set-level RPE labels with synchronized multimodal sensor data; public dataset; exploratory analysis only - no validated product-grade estimator published in it [authors corrected per second audit],lab instrumentation (ECG MoCap flywheel); single exercise; small homogeneous cohort; no consumer-device validity,dataset + exploratory prediction,closest direct match (02 4b); informs 06 pilot design (set-level labels; lactate substudy analog); consumer-modality claim remains unproven,Y
S26,primary_research,"Albert JA, Arnrich B. Biomedical Signal Processing and Control 89:105701",2024,A computer vision approach to continuously monitor fatigue during resistance training,https://doi.org/10.1016/j.bspc.2023.105701,16 subjects (flywheel squat; two Azure Kinect cameras),resistance training (flywheel squat),3D-skeleton kinematic features from two cameras -> GBRT etc predicting power and set-level RPE,16 subjects,GBRT best predicted RPE: MAPE 8.08% Spearman rho 0.74 [title/authors corrected per second audit - first remediation attached the wrong paper to this DOI],multi-camera lab vision; flywheel; single exercise; no consumer-phone capability,prediction (vision modality),added per audit (02 4b); lab vision modality outside consumer-phone scope,Y
S27,primary_research,"Baek JY, Kwon JH, Khan H, Lee MC. Sensors 25(21):6588",2025,Machine Learning-Driven Muscle Fatigue Estimation in Resistance Training with Assistive Robotics,https://pmc.ncbi.nlm.nih.gov/articles/PMC12609798/ (doi 10.3390/s25216588; PMID 41228812) [issue and authors corrected per second audit],32 healthy men (age 33.2+/-5.9 y; >=2 y recreational resistance training),isokinetic robotic bench press (XIM system),load-cell force-time features paired with RPE labels; RF / HistGBR / ridge regression,32 participants,RF reached R2 0.84 MAE 0.62 RPE 93.1% of predictions within +/-1 RPE,device-integrated robotic load sensor (not a body-worn biometric); single machine exercise; male cohort; lab setting,prediction (regression),reference point for instrumented future (02 4b); strengthens consumer-modality caution (04/07); no phone-only claim,Y
S28,primary_research,"Albert JA, Herdick A, Brahms CM, Granacher U, Arnrich B. 2021 IEEE Int Conf Bioinformatics and Biomedicine (BIBM)",2021,Using Machine Learning to Predict Perceived Exertion During Resistance Training With Wearable Heart Rate and Movement Sensors,https://doi.org/10.1109/BIBM52615.2021.9669577 (IEEE Xplore; conference Houston TX 2021-12-09..12; added per second audit),16 participants performing flywheel squats,flywheel squat (resistance training),six research-grade IMU sensors + chest ECG; HRV features derived from ECG; SVR/RF/GBRT regressors predicting per-set RPE,16 participants,best model MAPE 7.71% Pearson r 0.85 R2 0.48; ECG-derived HRV parameters significantly improved prediction with TRIMP the most informative feature,research-grade instrumentation (6 IMUs + ECG); flywheel platform; single exercise; small cohort; not consumer devices,prediction (regression + incremental HRV value),direct motivation for the 06 incremental-biometric ablation (02 4b; 06 7); consumer-modality validity remains unproven,Y
S29,primary_research,"Lee TH, Jun DU, Bae JY, Roh HT, Cho SY. Sensors (Basel) 26(8):2526",2026,Comparative Validity of Smartwatch-Derived Heart Rate and Energy Expenditure During Endurance and Resistance Exercise,https://pmc.ncbi.nlm.nih.gov/articles/PMC13120158/ (PMID 42076635; PMCID PMC13120158; doi 10.3390/s26082526; 2026 Apr 19),62 healthy adult men (men only; no women and no mixed-sex data),"endurance protocol plus a resistance protocol of 2 sets x 4 exercises at a 10RM load - bench press, squat, T-bar row, deadlift - with 2-min inter-exercise rest and 40 s contraction time per set at a metronome-regulated 2 s/2 s cadence","four consumer smartwatches (Apple, Galaxy, Fitbit, Garmin) against an ECG criterion for HR and indirect calorimetry for EE; HR sampled at three DISCRETE timepoints - immediately before exercise, immediately after completion, and 1 min post-exercise",n=62,"HR vs ECG r=0.64-0.97, ICC>0.94 and limits of agreement approx +/-10 bpm across BOTH endurance and resistance exercise; during resistance exercise ONLY the Apple Watch showed no significant difference from ECG; energy expenditure was poor in resistance (r=0.10-0.34, ICC<0.45)","men-only homogeneous sample; DISCRETE pre/post/1-min sampling and NOT continuous intra-set HR; ECG-referenced laboratory measurement and NOT Health Connect delivery; device-specific in resistance work (only Apple matched ECG); the correlation range extends down to r=0.64; no RPE outcome of any kind",validation study,"tempers the categorical wrist-PPG-fails-during-strength wording to a device- and timing-specific boundary (01 §7; 02 §5; 04 §3/§5); supports no per-set, intra-set, RPE, Health Connect or cross-device-equivalence claim",Y
S30,primary_research,"Lyristakis P, Wundersitz D, Cousins S, Zadow E, Gordon BA. J Strength Cond Res; 2026 Aug 4 online ahead of print",2026,The Relationship Between Subjective and Objective Intensity Across a Multiset Resistance Training Program,https://pubmed.ncbi.nlm.nih.gov/42551879/ (PMID 42551879; doi 10.1519/JSC.0000000000005615),104 participants randomly allocated to 1 of 3 exercise interventions,8-week supervised resistance training; 3 sessions/week; 5-6 exercises at 50% or 80% of 1RM; 2-3 sets of 6 or 14 repetitions,"set-level RPE recorded after each set; generalized estimating equation models relating RPE to relative intensity (%1RM), absolute load (kg), exercise, set number, repetition number and training session",n=104,"objective relative intensity, set number and repetition number were significant predictors of RPE in the authors GEE models across most exercises (model-coefficient significance, NOT out-of-sample prediction) (higher relative intensity beta 0.6 to 2.0; fewer repetitions beta -0.1 to -0.3); RPE differed significantly BETWEEN exercises at the same prescribed %1RM (shoulder press highest at 17.2 +/- 2.3; calf raise lowest at 13.3 +/- 2.6)","population-level GEE associations - NOT individual prediction and NOT causal; NO biometric input of any kind; the reported RPE means (17.2 / 13.3) indicate a Borg 6-20 category scale rather than the 0-10 RIR-anchored scale the app uses [inferred from the reported values; a construct difference per 01 §1]",prospective observational association,"independent support for the M0 workload/context baseline feature set (06 §7): relative load, repetitions, set index and movement class; the between-exercise RPE difference at equal %1RM independently supports retaining movement class in M0",Y
R07,repository_control,packages/inference/src/policyReference.ts (evaluatePolicy),2026,Live repository: readiness -> prescription modifier mapping,packages/inference/src/policyReference.ts (repo path),n/a,n/a,n/a,code,readiness_score (with hrv_z and sleep_efficiency_pct) maps to load_modifier 0.85-1.05 set_modifier -2..+1 and planned rpe_cap 6.5-9.5 via first-match-wins rules [verified per audit - readiness is a prescription input not merely descriptive],internal control; verified by test/verify_policy.mjs per file header,repository fact,corrects descriptive-only framing (01 §4; 05 §2); planned-vs-actual boundary (00 §4),Y
R08,repository_control,packages/biometrics/src/healthConnect.ts (hasGrantedPermissions -> getGrantedPermissions().length > 0),2026,Live repository: bridge readiness is any-granted (partial grants not modeled),packages/biometrics/src/healthConnect.ts (repo path),n/a,n/a,n/a,code,bridge reports ready when ANY requested permission is granted; per-type granted/denied states are not tracked [verified per audit],internal control,repository fact,partial-grant model required in any future consent/status work (05 §1b; 04 §10),Y
R09,repository_control,"apps/mobile/src/state/useStore.ts:4232-4243 (syncBiometrics RHR write path); apps/mobile/src/state/useStore.ts:4384-4405 (loadMeasuredHistory); apps/mobile/src/diagnostics/coachVerificationLab.ts:362-377 (evidenceWindow hrvDays); apps/mobile/src/screens/ProfileScreen.tsx:413-417 (connected-state copy - UD-10)",2026,Live repository: RHR complete current handling (conditional storage; history exposure; diagnostic count),apps/mobile/src/state/useStore.ts (repo path),n/a,n/a,n/a,code,"RHR is requested and read [R01]; it is stored alongside an hrv_daily row when that day rMSSD exists (useStore.ts:4232-4238); an RHR-only day only UPDATEs an already-existing row and is not persisted at all where none exists (useStore.ts:4239-4243); it contributes nothing to readiness, planned load, planned sets or the RPE cap [R01b]; it is exposed through loadMeasuredHistory as restingHr (useStore.ts:4384-4405); and it is counted toward the developer-facing hrvDays diagnostic availability window (coachVerificationLab.ts:362-377) - a diagnostic availability count, not readiness input and not prescription use; it still has no athlete-facing consuming feature, so UD-9 remains a valid Play/declaration issue [expanded per Round 3 closure - withdraws both the feeds-no-computation and the always-stored overstatements]",internal control,repository fact,complete and accurate RHR data map (00 §6; 01 §8; 02 §5; 05 §0/§1b; 08 UD-9; 09 §4/§6),Y
D01,official_documentation,Android Developers. Health Connect data types,2026,Health Connect data types,https://developer.android.com/health-and-fitness/health-connect/data-types,n/a,n/a,n/a,platform documentation,data categories incl Vitals (blood oxygen saturation) and Sleep; per-data-type declaration required for publishing,policy evolves; capture date 2026-09-02,platform documentation,bounds what Android can expose (04 S1-S3),Y
D02,official_documentation,Google Play Console Help. Android health permissions guidance and FAQs,2026,Android health permissions guidance and FAQs,https://support.google.com/googleplay/android-developer/answer/12991134,n/a,n/a,n/a,platform policy,access must be tied to clear user benefit; request only needed data types; consent and prominent disclosure requirements,Google policy text evolves; capture date 2026-09-02,platform policy,drives data-minimization and permission-wording rules (05),Y
D03,official_documentation,Apple Developer Documentation. Protecting user privacy (HealthKit),2026,Protecting user privacy (HealthKit),https://developer.apple.com/documentation/healthkit/protecting-user-privacy,n/a,n/a,n/a,platform policy,per-type user grant/deny; no advertising use; no third-party disclosure without permission; privacy policy required,capture date 2026-09-02,platform policy,iOS-side reference for any future bridge (04 S5; 07),Y
D04,official_documentation,Google Play Console Help. Health apps declaration form,2026,Provide information for the health apps declaration form,https://support.google.com/googleplay/android-developer/answer/14738291,n/a,n/a,n/a,platform policy,developers must declare health data access and use per feature,Google policy evolves; capture date 2026-09-02,platform policy,any future biometric-context surface needs declared justification (05 §5),Y
D05,official_documentation,Google. Health Connect developer publishing page (Publish your health app on Google Play),2026,Publish your health app on Google Play,https://developer.android.com/health-and-fitness/health-connect/publish (page last updated 2026-03-10 per page footer),n/a,n/a,n/a,platform documentation,Health apps declaration form mechanics; per-data-type justification; features list; Data safety section; re-declaration on new data types,page-dated official documentation (replaces the first freeze's vague notification-channel D05 row per audit),platform policy,drives data-minimization and declaration mechanics (05 §1b/§5),Y
D08,official_documentation,Apple Developer Documentation. App Review Guidelines (Legal 5.1 Privacy; HealthKit section),2026,App Review Guidelines - Privacy and HealthKit requirements,https://developer.apple.com/app-store/review/guidelines/ (5. Legal / 5.1 Privacy; HealthKit provisions),n/a,n/a,n/a,platform policy,per-type user permission; no advertising/data-broker use; purpose disclosure in UI and marketing; privacy policy required,capture date 2026-09-02,platform policy,iOS-side reference for any future bridge (04 S5; 07),Y
D09,official_documentation,Android Developers. ExerciseSegment API reference (androidx.health.connect:connect-client),2026,ExerciseSegment class reference (repetitions weight setIndex rateOfPerceivedExertion),https://developer.android.com/reference/androidx/health/connect/client/records/ExerciseSegment (page last updated 2026-08-26),n/a,n/a,n/a,platform API documentation,ExerciseSegment supports repetitions weight setIndex and optional 0-10 Borg-CR10 rateOfPerceivedExertion per segment within ExerciseSessionRecord [corrects the first remediations no-set-schema claim per second audit],schema exists but the current app bridge does not request or consume these records; vendor write coverage unverified,platform documentation,corrected capability statement (04 S1/S4; manifest D09),Y
D10,official_documentation,Android Developers. Develop workout experiences with Health Connect (guide),2026,Develop workout experiences with Health Connect,https://developer.android.com/health-and-fitness/health-connect/experiences/workouts (page last updated 2026-06-05),n/a,n/a,n/a,platform guide,HeartRateRecord is a series of timestamped HR measurements recordable during an ExerciseSessionRecord and queryable over the session time range [added per third audit - corrects the no-rest-interval-HR-record claim],platform capability exists; the current app bridge does not request or read these records; vendor write coverage for strength work unverified,platform documentation,corrected rest-interval-HR capability statement (04 S4.3),Y
R01,repository_control,packages/biometrics/src/healthConnect.ts; packages/biometrics/src/aggregate.ts; apps/mobile/src/state/useStore.ts (connectBiometrics/requestBiometricsAccess/syncBiometrics),2026,Live repository: Health Connect bridge + aggregation + store status machine,packages/biometrics/src/healthConnect.ts (repo path),n/a,n/a,n/a,code,bridge reads exactly HeartRateVariabilityRmssd RestingHeartRate SleepSession; graceful null degradation; foreground-only sync; one row/day compaction,internal control not external evidence,repository fact,baseline data inventory (04 S1); no new types proposed,Y
