claim_id,report,location,claim_class,claim,source,access_level,independent_tier,verdict,severity,transferability,corrected_wording
A-META-02,Antigravity review,L829-832,system/process claim,99 claims/100% coverage/zero unsupported,document text,audit extraction,process,CONTRADICTED,critical,not applicable,Not an atomic evidence ledger; multiple claims lack source support.
A-META-03,Antigravity review,L868-879,publication claim,five recent 2026 papers,42119794;42506841;42297625;42328880;42617172,PubMed abstracts,mixed,SUPPORTED—IDENTITY ONLY,moderate,older adults/rugby/well-trained,Identity is verified; document’s claimed outcomes/tier/transfer require each abstract/full-text check.
A-CLAUSE-0003,Antigravity review,Preamble; L3,inference/system fact,**Document Type:** Master Evidence Review & Synthesis,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0004,Antigravity review,Preamble; L4,inference/system fact,**Status:** Authoritative Draft,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0005,Antigravity review,Preamble; L5,inference/system fact,"**Target Environment:** Offline, Unsupervised Mobile Strength Tracking Application",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0006,Antigravity review,Preamble; L6,inference/system fact,**Target File Path:** `C:\Users\fpike\Documents\pikeMethods\drafts\evidence_review_strength_progression.md`,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0007,Antigravity review,Preamble; L7,inference/system fact,"**Date:** August 26, 2026",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0013,Antigravity review,Preamble; L13,inference/system fact,"This evidence review evaluates the physiological, mathematical, psychometric, and behavioural foundations of measuring muscular strength progression in an offline, unsupervised mobile application.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0016,Antigravity review,Preamble; L16,inference/system fact,"1. **Unsupervised Execution:** The application operates without human coaches, spotters, or external adjudicators to verify lifting technique, range of motion (ROM), repetition cadence, or proximity to failure.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0017,Antigravity review,Preamble; L17,inference/system fact,"2. **Sensorless Offline Architecture:** The application operates without peripheral hardware (no linear position transducers, bar-velocity sensors, optoelectronic cameras, force plates, or wearable telemetry).",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0018,Antigravity review,Preamble; L18,inference/system fact,3. **Established Calibration & Data Rulings:**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0019,Antigravity review,Preamble; L19,design proposal,- *Calibration Policy:* Research findings inform product decisions; they do not authorise automated algorithmic prescription. No numerical value enters the application engine without explicit owner ratification.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNSUPPORTED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0020,Antigravity review,Preamble; L20,inference/system fact,- *Session RPE:* The application's session RPE field is the simple arithmetic mean of logged per-set RPE ratings (not Foster session-RPE multiplied by workout duration).,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0021,Antigravity review,Preamble; L21,inference/system fact,- *Volume-Load Calculation:* Bodyweight resistance sets contribute exactly zero to the application's external volume-load/tonnage tally.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0022,Antigravity review,Preamble; L22,inference/system fact,"- *Missing Domain Telemetry:* The application receives zero data from grappling, combat sports, or unstructured conditioning sessions.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0023,Antigravity review,Preamble; L23,inference/system fact,- *Prior Policy Rulings:* Acute:Chronic Workload Ratio (ACWR) is strictly descriptive; Readiness scoring is limited to direct physiological sleep/HRV inputs; no rehabilitative algorithm modifiers are permitted.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0024,Antigravity review,Preamble; L24,inference/system fact,4. **Telemetry Overlap Note:** Overlap with the companion brief on ACWR and telemetry is acknowledged in this single note: acute-to-chronic workload ratios and physiological readiness scores remain strictly descriptive background metrics and are not coupled to algorithmic strength progression or load prescription.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0032,Antigravity review,Question 1; L32,published finding,"Under Classical Test Theory ($X = T + E$, where observed score $X$ comprises true score $T$ and random error $E$), Generalizability Theory, and unified measurement validity frameworks [Tier B−; Messick 1995, DOI: 10.1037/0003-066X.50.9.741; Nunnally 1978], an operational metric is valid if and only if it accurately reflects the latent construct it purports to measure. An invalid metric suffers from two structural psychometric errors:",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0033,Antigravity review,Question 1; L33,inference/system fact,1. **Construct Underrepresentation:** Failing to capture essential functional dimensions of the underlying biological attribute.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0034,Antigravity review,Question 1; L34,published finding,"2. **Construct-Irrelevant Variance:** Reflecting extraneous physiological noise, distinct metabolic processes, or behavioural artifacts that contaminate the measurement [Tier B−; Weir 2005, PMID: 15705040, DOI: 10.1519/15184.1; Tier B−; Hopkins 2000, PMID: 10907753, DOI: 10.2165/00007256-200030010-00001].",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0036,Antigravity review,Question 1; L36,published finding,"In human neuromuscular physiology, muscular strength is fundamentally **multidimensional and non-scalar** [Tier D; Sale 1988, PMID: 3057313; Tier D; Suchomel et al. 2016, PMID: 26838985, DOI: 10.1007/s40279-016-0486-0; Tier D; Suchomel et al. 2018, PMID: 29372481, DOI: 10.1007/s40279-018-0862-z]. Attempting to collapse resistance training progression into a single composite scalar—whether formatted as an aggregate ""Progression Index"", a single estimated 1RM, or total session Volume-Load ($\sum \text{sets} \times \text{reps} \times \text{load}$)—violates the core axioms of measurement theory:",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0037,Antigravity review,Question 1; L37,inference/system fact,- **Multidimensional Non-Fungibility:** Superior capacity along one physiological axis (such as high-repetition metabolic buffering) cannot mathematically or biologically substitute for capacity along an independent axis (such as maximal peak force generation at near-zero velocity).,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0038,Antigravity review,Question 1; L38,inference/system fact,"- **Latent Construct Conflation:** Aggregating disparate physical dimensions into a single scalar obscures the biological signal, preventing the athlete or system from determining whether performance changed due to high-threshold motor unit recruitment, changes in movement velocity, altered joint kinematics, or shifting rest intervals.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0041,Antigravity review,Question 1; L41,inference/system fact,+---------------------------------------------------------------------------------------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0042,Antigravity review,Question 1; L42,inference/system fact,|                                 MULTIDIMENSIONAL STRENGTH VECTOR                                  |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0043,Antigravity review,Question 1; L43,inference/system fact,+------------------------------------+--------------------------------------------------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0044,Antigravity review,Question 1; L44,inference/system fact,| Dimension 1: Maximal Force (1RM)   | Peak force at low velocity (<0.3 m/s); neural drive / CSA    |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0045,Antigravity review,Question 1; L45,inference/system fact,| Dimension 2: Velocity & Power / RFD| Rate of force development (<100 ms); bar velocity at <70% 1RM|,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0046,Antigravity review,Question 1; L46,inference/system fact,| Dimension 3: Muscular Endurance    | Work capacity / reps to failure at relative submaximal %1RM  |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0047,Antigravity review,Question 1; L47,inference/system fact,"| Dimension 4: Motor Skill & ROM     | Joint kinematics, spatial stability, technical consistency   |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0048,Antigravity review,Question 1; L48,inference/system fact,+------------------------------------+--------------------------------------------------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0055,Antigravity review,Question 1; L55,inference/system fact,"Scientific evidence establishes at least **four independent, dissociable dimensions** of neuromuscular performance:",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0058,Antigravity review,Question 1; L58,published finding,"- **Mechanisms:** Governed by maximal spatial and temporal recruitment of high-threshold alpha motor units, rate coding, muscle cross-sectional area (CSA), muscle architecture (fascicle length, pennation angle), and tendon stiffness [Tier D; Sale 1988, PMID: 3057313; Tier D; Suchomel et al. 2018, PMID: 29372481, DOI: 10.1007/s40279-018-0862-z].",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0059,Antigravity review,Question 1; L59,published finding,"- **Specificity of Adaptation:** Heavy-load training ($\ge 80-85\%$ 1RM) elicits significantly greater 1RM strength adaptations than low-load training matched for work or volume-load, driven by high-threshold efferent neural drive, inter-muscular coordination, and downregulation of antagonist co-activation [Tier A; Schoenfeld et al. 2017, PMID: 28834797, DOI: 10.1519/JSC.0000000000002200; Tier A; Morton et al. 2016, PMID: 27174923, DOI: 10.1152/japplphysiol.00154.2016].",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0060,Antigravity review,Question 1; L60,inference/system fact,- **Population:** Resistance-trained and untrained adult males and females ($n=574$ across 21 RCTs).,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0061,Antigravity review,Question 1; L61,published finding,"- **Effect Size / Uncertainty:** High-load vs low-load 1RM strength difference: Hedges' $g = 0.58$ [95% CI: 0.35, 0.81] vs $g = 0.35$ [95% CI: 0.15, 0.55], $p < 0.01$ [Tier A; Schoenfeld et al. 2017].",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0062,Antigravity review,Question 1; L62,inference/system fact,"- **What Goes Wrong If Wrong:** Treating submaximal endurance sets as a direct proxy for 1RM force conflates metabolic buffering capacity with neural limit strength, misleading users regarding maximal force readiness.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0063,Antigravity review,Question 1; L63,inference/system fact,"- **Transferability Risk:** High. In unsupervised environments, athletes avoid heavy low-rep sets due to fear or lack of spotters, attempting to infer 1RM from high-rep sets where error is maximal.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0066,Antigravity review,Question 1; L66,published finding,"- **Mechanisms:** Governed by early-phase neuromuscular activation ($0-100\text{ ms}$), intrinsic cross-bridge cycling speed, Type IIx/IIa myosin heavy chain composition, and tendon compliance [Tier D; Suchomel et al. 2016, PMID: 26838985, DOI: 10.1007/s40279-016-0486-0; Tier B; Pareja-Blanco et al. 2017, PMID: 27038416, DOI: 10.1111/sms.12678].",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0067,Antigravity review,Question 1; L67,published finding,"- **Empirical Dissociation from 1RM:** Resistance training performed with high velocity loss ($\ge 40-50\%$, grinding sets to failure) induces significant local muscular endurance and hypertrophy, but **impairs** high-velocity power and causes substantial phenotypic shift away from fast-twitch Type IIx fibers compared to low velocity loss ($\le 10-20\%$) [Tier B; Pareja-Blanco et al. 2017, PMID: 27038416; Tier B; Pareja-Blanco et al. 2020, PMID: 32049887, DOI: 10.1249/MSS.0000000000002295; Tier B; Rodiles-Guerrero et al. 2024, PMID: 39168458, DOI: 10.1123/ijspp.2023-0529].",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0068,Antigravity review,Question 1; L68,inference/system fact,- **Population:** Resistance-trained males ($n=46$).,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
